priority_rank,canonical_url,locale,page_type,clicks,impressions,ctr_percent,average_position,source_url_count,performance_evidence,coverage_evidence,recommended_status,implementation_wave,primary_intent,next_action,confidence
17,"https://www.halatao.cz/en/comparisons/nextjs-vs-spa-for-business-apps/",en,comparison,0,130,0.00,10.16,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"technology comparison for business applications","Wait for stable canonical data and a filtered query-by-page export before a bounded snippet test",MEDIUM
18,"https://www.halatao.cz/en/guides/how-to-automate-request-processing/",en,guide,0,108,0.00,28.85,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export","NEEDS MORE DATA",later,"informational request-processing automation","Validate country, query and landing-page fit; do not infer ownership from independent aggregate tables",LOW
19,"https://www.halatao.cz/en/use-cases/partner-portal-for-b2b-company/",en,use_case,0,103,0.00,19.17,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export","NEEDS MORE DATA",later,"B2B partner portal use case","Obtain query-by-page and country/device evidence before content changes",LOW
20,"https://www.halatao.cz/en/guides/how-to-manage-jobs-without-excel/",en,guide,0,84,0.00,15.90,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export","NEEDS MORE DATA",later,"informational job management without spreadsheets","Confirm the responsible queries and geography; monitor rather than rewrite",LOW
21,"https://www.halatao.cz/en/use-cases/internal-approval-system/",en,use_case,0,31,0.00,7.48,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export","NEEDS MORE DATA",later,"internal approval use case","The visible query includes India and may not match the target market; segment by country and page",LOW
22,"https://www.halatao.cz/en/guides/how-to-plan-an-mvp-web-application/",en,guide,0,29,0.00,8.55,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"informational MVP planning","Monitor a stable post-P0 window; require query-by-page evidence before any snippet test",MEDIUM
23,"https://www.halatao.cz/en/services/existing-app-takeover/",en,service,0,21,0.00,6.77,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"transactional application takeover","Keep EN unchanged in wave 1; compare with CS takeover evidence and collect EN query-by-page data",MEDIUM
24,"https://www.halatao.cz/en/templates/api-integration-checklist/",en,tool,0,23,0.00,6.13,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export","NEEDS MORE DATA",later,"working asset: API integration checklist","Do not mirror the CS expansion automatically; validate EN demand and query ownership first",LOW
25,"https://www.halatao.cz/en/use-cases/reporting-dashboard-development/",en,use_case,0,16,0.00,8.75,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"reporting dashboard use case","Monitor and verify the query-to-page mapping with a filtered export",MEDIUM
26,"https://www.halatao.cz/cs/pruvodce/jak-naplanovat-mvp-webove-aplikace/",cs,guide,0,18,0.00,14.78,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"informational MVP planning","Hold copy stable during wave 1 and reassess after the canonical baseline",MEDIUM
27,"https://www.halatao.cz/cs/priklady/dashboard-pro-management/",cs,use_case,0,12,0.00,28.42,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export","NEEDS MORE DATA",later,"management dashboard use case","Collect more impressions and query-by-page evidence before changing content",LOW
28,"https://www.halatao.cz/cs/pruvodce/dashboard-pro-management-z-vice-systemu/",cs,guide,0,12,0.00,40.08,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export","NEEDS MORE DATA",later,"informational multi-system management reporting","Keep unchanged until data volume and query ownership improve",LOW
29,"https://www.halatao.cz/en/use-cases/internal-admin-system/",en,use_case,0,11,0.00,5.55,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export","NEEDS MORE DATA",later,"internal administration use case","Validate query and country fit before any change",LOW
30,"https://www.halatao.cz/cs/problemy/potrebujeme-modernizovat-legacy-aplikaci/",cs,problem,0,11,0.00,15.64,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"problem recognition for legacy modernization","Monitor alongside the takeover-service wave; avoid overlapping the transactional owner",MEDIUM
