backlog_id,wave,priority,status,locale,workstream,target,owner_intent,planned_change,current_worktree_state,execution_gate,acceptance_criteria,measurement_window,rollback,confidence
P2-MEASURE-01,1,P0,TEST,all,analytics,"src/components/AnalyticsScripts.tsx","consent-safe measurement with verified ownership","Keep the new canonical CTA/form event instrumentation; inspect the GTM container before deciding whether GTM or direct gtag owns GA4 page views; remove or disable a duplicate path only with configuration access and measurement QA","event instrumentation implemented in worktree; GTM configuration QA is blocked; not deployed","Blocked on GTM-container access plus production Tag Assistant or equivalent observation; do not remove either loader by assumption","Exactly one GA4 page_view per navigation after configuration; no duplicate GA configuration; consent behavior is preserved; CTA/form event names and parameters are documented; no PII is sent","QA before configuration change and compare event counts for 7 days after release","Revert event wiring or the later GTM/gtag ownership change if page views, consent or conversions regress",MEDIUM
P2-MONITOR-01,1,P1,TEST,cs,content,"https://www.halatao.cz/cs/pruvodce/jak-odhalit-rucni-prepisovani-dat/","diagnostic guide","Run a one-variable title test; keep description, H1 and URL unchanged","implemented in worktree; not deployed","Record deployment date and do not combine the test with another snippet change","Exactly one title changes; output canonical/H1 remains stable","56 stable days because baseline sample is small","Restore the previous title only",MEDIUM
P2-MONITOR-02,later,P1,MONITOR,cs,content,"https://www.halatao.cz/cs/problemy/poptavky-nabidky-a-realizace-v-excelu-a-emailu/","narrow request-offer-delivery pain owner","Keep stable and monitor overlap with the broader Excel-process diagnostic","unchanged","At least 28 stable post-deployment days and query-by-page filter","No conflicting intent owner emerges; no cannibalization action without evidence","56 stable days","No change to roll back",MEDIUM
P2-MONITOR-03,later,P1,MONITOR,en,content,"https://www.halatao.cz/en/comparisons/nextjs-vs-spa-for-business-apps/","technology comparison","Hold copy stable; consider a bounded snippet test only after observed query ownership is confirmed","unchanged","Stable canonical data plus GSC query-by-page export","A future test changes one variable and has a pre-recorded baseline","28 stable days","Restore the single tested field",MEDIUM
P2-DATA-01,later,P1,"NEEDS MORE DATA",en,content,"https://www.halatao.cz/en/guides/how-to-automate-request-processing/","informational request-processing automation","No edit; collect query, page, country and device evidence","unchanged","Filtered GSC evidence and enough impressions after P0","Actual responsible queries and target-market geography identified","4-6 stable weeks","No change to roll back",LOW
P2-DATA-02,later,P1,"NEEDS MORE DATA",en,content,"https://www.halatao.cz/en/use-cases/partner-portal-for-b2b-company/","B2B partner portal use case","No edit; validate whether partner-portal, client-portal or service content owns the demand","unchanged","Filtered query-by-page and country evidence","One observed intent owner with no speculative merge or rewrite","4-6 stable weeks","No change to roll back",LOW
P2-DATA-03,later,P1,"NEEDS MORE DATA",en,content,"https://www.halatao.cz/en/guides/how-to-manage-jobs-without-excel/","informational job management without spreadsheets","No edit; validate informational versus software-buying intent and target geography","unchanged","Filtered query-by-page and country evidence","Intent and observed landing page are known before a copy decision","4-6 stable weeks","No change to roll back",LOW
P2-MONITOR-04,later,P2,MONITOR,en,content,"https://www.halatao.cz/en/services/existing-app-takeover/","transactional application takeover","Keep EN unchanged while the CS takeover expansion is measured","unchanged","CS wave measured and EN query-by-page evidence available","Any later EN change is justified independently, not copied mechanically from CS","4-6 stable weeks","No change to roll back",MEDIUM
P2-DATA-04,later,P2,"NEEDS MORE DATA",en,content,"https://www.halatao.cz/en/templates/api-integration-checklist/","working asset","Do not mirror the CS checklist expansion automatically; validate EN demand first","unchanged","Filtered EN query-by-page and indexation evidence","Independent EN business and search rationale exists before editing","4-6 stable weeks","No change to roll back",LOW
P2-MONITOR-05,later,P2,MONITOR,cs,indexation,"https://www.halatao.cz/cs/pruvodce/jak-pripravit-takeover-audit-aplikace/","informational takeover-audit guide","Keep indexable and monitor after recrawl; expand only in a later isolated wave","unchanged","Current canonical recrawled after P0","Coverage decision uses the canonical slash URL and current crawl, not the May export alone","4-6 stable weeks after recrawl","No change to roll back",MEDIUM
P2-MONITOR-06,later,P2,MONITOR,cs,indexation,"https://www.halatao.cz/cs/technologie/api-integrace/","API integration technology and decision page","Keep indexable and monitor after recrawl; expand only after the checklist wave is measured","unchanged","Current canonical recrawled after P0","Technology page remains distinct from checklist and service; no premature merge/noindex","4-6 stable weeks after recrawl","No change to roll back",MEDIUM
